0,CombatZoneResize,133,251,508,391,TLResume,,,
0,HeartTeleport,320,376,,,,,,
0,HeartMode,0,,,,,,,
0,TLPause,,,,,,,,
0.5,SET,Loop,20,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,SET,Loop3,0,,,,,,
0,ADD,Loop3,$Loop3,1,,,,,
0,RND,Loop3,640,,,,,,
0,SET,Loop2,0,,,,,,
0,ADD,Loop2,$Loop2,1,,,,,
0,RND,Loop2,6,,,,,,
0,SET,Loop4,0,,,,,,
0,ADD,Loop4,$Loop4,1,,,,,
0,RND,Loop4,480,,,,,,
0,GasterBlaster,$Loop2,$Loop3,$Loop4,$Loop3,$Loop4,90,0.46666,0.4
0,GasterBlaster,$Loop2,$Loop3,$Loop4,$Loop3,$Loop4,0,0.46666,0.4
0,GasterBlaster,$Loop2,$Loop3,$Loop4,$Loop3,$Loop4,180,0.46666,0.4
0,GasterBlaster,$Loop2,$Loop3,$Loop4,$Loop3,$Loop4,270,0.46666,0.4
0.5,JMPNZ,6,$Loop,,,,,,
1,EndAttack,,,,,,,,
3.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
