0,CombatZoneResize,133,251,508,391,TLResume,,,
0,HeartTeleport,320,376,,,,,,
0,HeartMode,1,,,,,,,
0,TLPause,,,,,,,,
0.4,BoneVRepeat,128,257,100,0,300,43,80,
0,BoneVRepeat,128,376,15,0,300,43,80,
0,BoneVRepeat,503,257,100,2,300,43,80,
0,BoneVRepeat,503,376,15,2,300,43,80,
0.6,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,4,0,0,210,385,0,0,0.15
0,GasterBlaster,4,0,0,400,385,180,0,0.15
0.6,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,4,0,0,210,385,0,0,0.15
0,GasterBlaster,4,0,0,400,385,180,0,0.15
0.6,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,4,0,0,210,385,0,0,0.15
0,GasterBlaster,4,0,0,400,385,180,0,0.15
0.6,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,4,0,0,210,385,0,0,0.15
0,GasterBlaster,4,0,0,400,385,180,0,0.15
0.6,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,4,0,0,210,385,0,0,0.15
0,GasterBlaster,4,0,0,400,385,180,0,0.15
0.6,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,4,0,0,210,385,0,0,0.15
0,GasterBlaster,4,0,0,400,385,180,0,0.15
0.6,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,4,0,0,210,385,0,0,0.15
0,GasterBlaster,4,0,0,400,385,180,0,0.15
0.6,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,4,0,0,210,385,0,0,0.15
0,GasterBlaster,4,0,0,400,385,180,0,0.15
0.6,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,4,0,0,210,385,0,0,0.15
0,GasterBlaster,4,0,0,400,385,180,0,0.15
0.6,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,4,0,0,210,385,0,0,0.15
0,GasterBlaster,4,0,0,400,385,180,0,0.15
0.6,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,4,0,0,210,385,0,0,0.15
0,GasterBlaster,4,0,0,400,385,180,0,0.15
0.6,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,4,0,0,210,385,0,0,0.15
0,GasterBlaster,4,0,0,400,385,180,0,0.15
0.6,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,4,0,0,210,385,0,0,0.15
0,GasterBlaster,4,0,0,400,385,180,0,0.15
0.6,GetHeartPos,HeartX,HeartY,,,,,,
