0,CombatZoneResize,133,251,508,391,TLResume,,,
0,HeartTeleport,320,376,,,,,,
0,HeartMode,1,,,,,,,
0,TLPause,,,,,,,,
0.5,BoneVRepeat,128,366,20,0,150,63,70,
0,BoneVRepeat,513,257,107,2,150,63,70,
0.7,sansslam,3,,,,,,,
0,BoneStab,3,35,0.7,0.4,,,,
0.7,sansslam,1,,,,,,,
0,BoneStab,1,35,0.7,0.4,,,,
0.7,sansslam,3,,,,,,,
0,BoneStab,3,35,0.7,0.4,,,,
0.7,sansslam,1,,,,,,,
0,BoneStab,1,35,0.7,0.4,,,,
0.7,sansslam,3,,,,,,,
0,BoneStab,3,35,0.7,0.4,,,,
0.7,sansslam,1,,,,,,,
0,BoneStab,1,35,0.7,0.4,,,,
0.7,sansslam,3,,,,,,,
0,BoneStab,3,35,0.7,0.4,,,,
0.7,sansslam,1,,,,,,,
0,BoneStab,1,35,0.7,0.4,,,,
0.7,sansslam,3,,,,,,,
0,BoneStab,3,35,0.7,0.4,,,,
0.7,sansslam,1,,,,,,,
0,BoneStab,1,35,0.7,0.4,,,,
0.7,sansslam,3,,,,,,,
0,BoneStab,3,35,0.7,0.4,,,,
0.7,sansslam,1,,,,,,,
0,BoneStab,1,35,0.7,0.4,,,,
0.7,sansslam,3,,,,,,,
0,BoneStab,3,35,0.7,0.4,,,,
0.7,sansslam,1,,,,,,,
0,BoneStab,1,35,0.7,0.4,,,,
0.7,sansslam,3,,,,,,,
0,BoneStab,3,35,0.7,0.4,,,,
0.7,sansslam,1,,,,,,,
0,BoneStab,1,35,0.7,0.4,,,,
0.7,sansslam,3,,,,,,,
0,BoneStab,3,35,0.7,0.4,,,,
0.7,sansslam,1,,,,,,,
0,BoneStab,1,35,0.7,0.4,,,,
0.7,sansslam,3,,,,,,,
0,BoneStab,3,35,0.7,0.4,,,,
0.7,sansslam,1,,,,,,,
0,BoneStab,1,35,0.7,0.4,,,,
0.7,sansslam,3,,,,,,,
0,BoneStab,3,35,0.7,0.4,,,,
0.7,sansslam,1,,,,,,,
0,BoneStab,1,35,0.7,0.4,,,,
0.7,sansslam,3,,,,,,,
0,BoneStab,3,35,0.7,0.4,,,,
0.7,sansslam,1,,,,,,,
0,BoneStab,1,35,0.7,0.4,,,,
0.7,sansslam,3,,,,,,,
0,BoneStab,3,35,0.7,0.4,,,,
0.7,sansslam,1,,,,,,,
0,BoneStab,1,35,0.7,0.4,,,,
0.7,sansslam,3,,,,,,,
0,BoneStab,3,35,0.7,0.4,,,,
0.7,sansslam,1,,,,,,,
0,BoneStab,1,35,0.7,0.4,,,,
