0,CombatZoneResize,241,226,406,391,TLResume,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,TLPause,,,,,,,,
0.2,BoneHRepeat,130,-10,200,1,150,60,100,
0,BoneHRepeat,330,650,200,3,150,60,100,
2,GetHeartPos,HeartX,HeartY,,,,,,
0.8,GasterBlaster,5,241,$HeartY,241,$HeartY,0,0,0.07
0,GasterBlaster,5,406,$HeartY,406,$HeartY,180,0,0.07
0,GasterBlaster,5,$HeartX,226,$HeartX,226,90,0,0.07
0,GasterBlaster,5,$HeartX,391,$HeartX,391,270,0,0.07
2,GetHeartPos,HeartX,HeartY,,,,,,
0.8,GasterBlaster,5,241,$HeartY,241,$HeartY,0,0,0.07
0,GasterBlaster,5,406,$HeartY,406,$HeartY,180,0,0.07
0,GasterBlaster,5,$HeartX,226,$HeartX,226,90,0,0.07
0,GasterBlaster,5,$HeartX,391,$HeartX,391,270,0,0.07
2,GetHeartPos,HeartX,HeartY,,,,,,
0.8,GasterBlaster,5,241,$HeartY,241,$HeartY,0,0,0.07
0,GasterBlaster,5,406,$HeartY,406,$HeartY,180,0,0.07
0,GasterBlaster,5,$HeartX,226,$HeartX,226,90,0,0.07
0,GasterBlaster,5,$HeartX,391,$HeartX,391,270,0,0.07
2,GetHeartPos,HeartX,HeartY,,,,,,
0.8,GasterBlaster,5,241,$HeartY,241,$HeartY,0,0,0.07
0,GasterBlaster,5,406,$HeartY,406,$HeartY,180,0,0.07
0,GasterBlaster,5,$HeartX,226,$HeartX,226,90,0,0.07
0,GasterBlaster,5,$HeartX,391,$HeartX,391,270,0,0.07
2,GetHeartPos,HeartX,HeartY,,,,,,
0.8,GasterBlaster,5,241,$HeartY,241,$HeartY,0,0,0.07
0,GasterBlaster,5,406,$HeartY,406,$HeartY,180,0,0.07
0,GasterBlaster,5,$HeartX,226,$HeartX,226,90,0,0.07
0,GasterBlaster,5,$HeartX,391,$HeartX,391,270,0,0.07
2,GetHeartPos,HeartX,HeartY,,,,,,
0.8,GasterBlaster,5,241,$HeartY,241,$HeartY,0,0,0.07
0,GasterBlaster,5,406,$HeartY,406,$HeartY,180,0,0.07
0,GasterBlaster,5,$HeartX,226,$HeartX,226,90,0,0.07
0,GasterBlaster,5,$HeartX,391,$HeartX,391,270,0,0.07
2,GetHeartPos,HeartX,HeartY,,,,,,
0.8,GasterBlaster,5,241,$HeartY,241,$HeartY,0,0,0.07
0,GasterBlaster,5,406,$HeartY,406,$HeartY,180,0,0.07
0,GasterBlaster,5,$HeartX,226,$HeartX,226,90,0,0.07
0,GasterBlaster,5,$HeartX,391,$HeartX,391,270,0,0.07
2,GetHeartPos,HeartX,HeartY,,,,,,
0.8,GasterBlaster,5,241,$HeartY,241,$HeartY,0,0,0.07
0,GasterBlaster,5,406,$HeartY,406,$HeartY,180,0,0.07
0,GasterBlaster,5,$HeartX,226,$HeartX,226,90,0,0.07
0,GasterBlaster,5,$HeartX,391,$HeartX,391,270,0,0.07
2,GetHeartPos,HeartX,HeartY,,,,,,
0.8,GasterBlaster,5,241,$HeartY,241,$HeartY,0,0,0.07
0,GasterBlaster,5,406,$HeartY,406,$HeartY,180,0,0.07
0,GasterBlaster,5,$HeartX,226,$HeartX,226,90,0,0.07
0,GasterBlaster,5,$HeartX,391,$HeartX,391,270,0,0.07
2,GetHeartPos,HeartX,HeartY,,,,,,
0.8,GasterBlaster,5,241,$HeartY,241,$HeartY,0,0,0.07
