0,CombatZoneResize,133,100,508,391,TLResume,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,TLPause,,,,,,,,
0.5,SET,Loop,40,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,SET,Loop3,0,,,,,,
0,ADD,Loop3,$Loop3,1,,,,,
0,RND,Loop3,640,,,,,,
0,SET,Loop2,0,,,,,,
0,ADD,Loop2,$Loop2,1,,,,,
0,RND,Loop2,6,,,,,,
0,SET,Loop4,0,,,,,,
0,ADD,Loop4,$Loop4,1,,,,,
0,RND,Loop4,480,,,,,,
0,GasterBlaster,$Loop2,$Loop3,$Loop4,$Loop3,$Loop4,90,0.46666,0.4
0,GasterBlaster,$Loop2,$Loop3,$Loop4,$Loop3,$Loop4,0,0.46666,0.4
0,GasterBlaster,$Loop2,$Loop3,$Loop4,$Loop3,$Loop4,180,0.46666,0.4
0,GasterBlaster,$Loop2,$Loop3,$Loop4,$Loop3,$Loop4,270,0.46666,0.4
0.4,GasterBlaster,$Loop2,$Loop3,$Loop4,$Loop3,$Loop4,45,0.46666,0.4
0,GasterBlaster,$Loop2,$Loop3,$Loop4,$Loop3,$Loop4,135,0.46666,0.4
0,GasterBlaster,$Loop2,$Loop3,$Loop4,$Loop3,$Loop4,225,0.46666,0.4
0,GasterBlaster,$Loop2,$Loop3,$Loop4,$Loop3,$Loop4,315,0.46666,0.4
0.35,JMPNZ,6,$Loop,,,,,,
1,EndAttack,,,,,,,,
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
